TIMESTAMP;PTemp;Freq(1);Freq(2);Freq(3);Freq(4);Freq(5);Freq(6);Freq(7);Freq(8);Freq(9);Freq(10);Def(1);Def(2);Def(3);Def(4);Def(5);Def(6);Def(7);Def(8);Def(9);Def(10);Temp_Extenso(1);Temp_Extenso(2);Temp_Extenso(3);Temp_Extenso(4);Temp_Extenso(5);Temp_Extenso(6);Temp_Extenso(7);Temp_Extenso(8);Temp_Extenso(9);Temp_Extenso(10)
2023-03-01 00:05:00;8.08;704.3058;967.941;776.9114;729.1369;904.089;668.5441;761.5439;818.6363;727.09;718.5532;-3811.611;-3714.044;-2002.681;-2277.735;-5082.083;-5099.042;-2904.397;-2321.186;-1982.672;-3571.517;13.53033;13.58481;12.85822;12.82013;13.2485;13.21442;9.595642;9.066864;12.19589;12.78867
2023-03-01 00:15:00;8.04;704.3064;967.9415;776.912;729.1365;904.0889;668.5444;761.5446;818.6363;727.0899;718.5545;-3811.578;-3714.004;-2002.646;-2277.759;-5082.086;-5099.029;-2904.354;-2321.186;-1982.679;-3571.446;13.53027;13.58466;12.85785;12.82019;13.24835;13.2142;9.605377;9.065643;12.19589;12.78854
2023-03-01 00:25:00;7.993;704.307;967.9409;776.9123;729.1357;904.0889;668.5445;761.5442;818.6367;727.0894;718.5555;-3811.545;-3714.049;-2002.629;-2277.804;-5082.086;-5099.022;-2904.378;-2321.16;-1982.708;-3571.393;13.53009;13.58459;12.8576;12.82019;13.24817;13.21399;9.602844;9.064972;12.19604;12.78857
2023-03-01 00:35:00;7.95;704.3078;967.9409;776.9129;729.135;904.0889;668.5452;761.5443;818.6362;727.0893;718.5562;-3811.503;-3714.049;-2002.591;-2277.84;-5082.086;-5098.985;-2904.37;-2321.191;-1982.715;-3571.352;13.52994;13.58444;12.85748;12.82004;13.2482;13.21384;9.605621;9.062469;12.19559;12.78842
2023-03-01 00:45:00;7.905;704.3078;967.941;776.9134;729.135;904.0889;668.545;761.5439;818.636;727.089;718.5568;-3811.503;-3714.044;-2002.562;-2277.84;-5082.086;-5098.997;-2904.397;-2321.205;-1982.732;-3571.319;13.53003;13.58429;12.85736;12.81976;13.24802;13.21365;9.599731;9.060547;12.1955;12.78821
2023-03-01 00:55:00;7.862;704.3084;967.941;776.9138;729.135;904.089;668.5458;761.5442;818.6363;727.0884;718.558;-3811.469;-3714.044;-2002.538;-2277.84;-5082.083;-5098.957;-2904.378;-2321.186;-1982.765;-3571.255;13.52994;13.58441;12.85715;12.81967;13.24792;13.21365;9.590088;9.060516;12.19577;12.78818
2023-03-01 01:05:00;7.817;704.3085;967.9412;776.914;729.134;904.0887;668.5456;761.5437;818.6362;727.0879;718.5586;-3811.466;-3714.028;-2002.526;-2277.897;-5082.103;-5098.966;-2904.406;-2321.191;-1982.791;-3571.222;13.52975;13.58438;12.85721;12.81955;13.24771;13.21338;9.57959;9.059967;12.19586;12.78815
2023-03-01 01:15:00;7.794;704.309;967.941;776.9147;729.1338;904.0887;668.546;761.5437;818.6363;727.088;718.5593;-3811.437;-3714.044;-2002.486;-2277.909;-5082.103;-5098.945;-2904.406;-2321.186;-1982.784;-3571.182;13.52979;13.5842;12.85678;12.81921;13.24759;13.2131;9.564697;9.057739;12.19547;12.78812
2023-03-01 01:25:00;7.751;704.3089;967.9409;776.9146;729.1336;904.0887;668.5463;761.5433;818.6362;727.0879;718.56;-3811.443;-3714.049;-2002.491;-2277.919;-5082.103;-5098.929;-2904.43;-2321.191;-1982.791;-3571.145;13.52948;13.58398;12.85669;12.81903;13.24738;13.21307;9.548523;9.055084;12.19543;12.78796
2023-03-01 01:35:00;7.706;704.3085;967.9406;776.9153;729.1327;904.0889;668.5466;761.5434;818.636;727.0875;718.5607;-3811.466;-3714.073;-2002.45;-2277.969;-5082.086;-5098.916;-2904.423;-2321.205;-1982.813;-3571.104;13.5296;13.58411;12.8566;12.81888;13.24725;13.21295;9.532593;9.049408;12.19498;12.78796
2023-03-01 01:45:00;7.686;704.3085;967.9412;776.9155;729.1324;904.0883;668.5469;761.5432;818.636;727.0868;718.5615;-3811.466;-3714.028;-2002.436;-2277.985;-5082.128;-5098.901;-2904.435;-2321.205;-1982.853;-3571.061;13.52966;13.58411;12.85635;12.81882;13.24695;13.21286;9.524872;9.045868;12.19528;12.7879
2023-03-01 01:55:00;7.641;704.3085;967.9408;776.9159;729.1322;904.0883;668.547;761.5426;818.6358;727.086;718.5624;-3811.466;-3714.059;-2002.414;-2277.997;-5082.128;-5098.895;-2904.47;-2321.217;-1982.896;-3571.013;13.52957;13.58383;12.85596;12.81873;13.24686;13.21268;9.532379;9.049286;12.19528;12.78778
